athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
wojciech-knapik;Wojciech KNAPIK;2;Athens 2004;1980
gheorghe-langa;Gheorghe LANGA;1;Rome 1960;1930
valentin-ivanov-1;Valentin IVANOV;1;Seoul 1988;1966
andris-sics;Andris SICS;5;Turin 2006;1985
bert-romp;Bert ROMP;2;Barcelona 1992;1958
zinaida-belovetskaya;Zinaida BELOVETSKAYA;1;Rome 1960;1939
tserenkhand-dorjgotov;Tserenkhand DORJGOTOV;2;Sydney 2000;1977
olavi-onni-albin-hynninen;Olavi Onni Albin HYNNINEN;1;London 1948;1910
eva-molnar;Eva MOLNAR;1;Moscow 1980;1958
hendrik-jan-zwolle;Hendrik Jan ZWOLLE;3;Seoul 1988;1964
nele-zilinskiene;Nele ZILINSKIENE;3;Barcelona 1992;1969
jake-pates;Jake PATES;1;PyeongChang 2018;1998
genevieve-fortin;Genevieve FORTIN;1;Lillehammer 1994;
koul-hwa-kuo;Koul-Hwa KUO;1;Calgary 1988;1968
tomas-kraus;Tomas KRAUS;2;Vancouver 2010;1974
khassaraporn-suta;Khassaraporn SUTA;1;Sydney 2000;1971
julian-munoz-aia;Julian MUNOZ-AIA;2;Calgary 1988;1946
evin-demirhan;Evin DEMIRHAN;1;Tokyo 2020;1995
mihai-cristian-tentea;Mihai Cristian TENTEA;2;PyeongChang 2018;1998
yuji-nagai;Yuji NAGAI;1;Albertville 1992;1963
josh-taylor;Josh TAYLOR;1;London 2012;1991
klaus-ofner;Klaus OFNER;2;Calgary 1988;1968
nicklas-holm;Nicklas HOLM;1;Athens 2004;1981
custodio-ezequiel;Custodio EZEQUIEL;2;Sydney 2000;1962
rene-tebbel;Rene TEBBEL;1;Rio 2016;1969
gerald-raymond-ouellette;Gerald Raymond OUELLETTE;2;Melbourne 1956;1934
mark-jensen;Mark JENSEN;1;Lake Placid 1980;1946
martine-ripsrud;Martine RIPSRUD;1;Beijing 2022;1995
raymond-neenan;Raymond NEENAN;1;Moscow 1980;1952
christiane-weber;Christiane WEBER;2;Los Angeles 1984;1962
fares-ibrahim-e-h-elbakh;Fares Ibrahim E. H. ELBAKH;2;Rio 2016;1998
christopher-hoeger;Christopher HOEGER;1;Salt Lake City 2002;1985
juan-carlos-vargas-barneond;Juan Carlos VARGAS BARNEOND;3;Los Angeles 1984;1963
tibor-maracsko;Tibor MARACSKO;2;Montreal 1976;1948
toni-kanaet;Toni KANAET;1;Tokyo 2020;1995
yuanguo-zhou;Yuanguo ZHOU;2;Sydney 2000;1977
steve-ovett;Steve OVETT;3;Montreal 1976;1955
robin-goad;Robin GOAD;1;Sydney 2000;1970
evgeni-anikin;Evgeni ANIKIN;1;Moscow 1980;1958
adrienn-toth;Adrienn TOTH;1;London 2012;1990
jared-ward;Jared WARD;1;Rio 2016;1988
nan-wang-5;Nan WANG;3;Sydney 2000;1978
niokhor-diongue;Niokhor DIONGUE;1;Moscow 1980;1962
jose-feans;Jose FEANS;1;Berlin 1936;1912
jamie-nicholls;Jamie NICHOLLS;2;Sochi 2014;1993
kharilaos-vasilakos;Kharilaos VASILAKOS;2;Athens 1896;1876
kelci-bryant;Kelci BRYANT;2;Beijing 2008;1989
avaavau-avaavau;Avaavau AVAAVAU;1;Seoul 1988;1965
