discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Tennis;tokyo-2020;Women's Doubles;Women;SILVER;GameTeam;Bencic / Golubic;viktorija-golubic;Switzerland;SUI
Cross Country Skiing;turin-2006;Relay 4x10km men;Men;SILVER;GameTeam;Germany team;;Germany;GER
Fencing;los-angeles-1984;�p�e individual men;Men;SILVER;Athlete;;bjorne-vaggo;Sweden;SWE
Equestrian;tokyo-2020;Jumping Team;Open;GOLD;GameTeam;Sweden;;Sweden;SWE
Bobsleigh;sapporo-1972;two-man men;Men;BRONZE;GameTeam;Switzerland team #1;jean-wicki;Switzerland;SUI
Gymnastics Artistic;atlanta-1996;team competition men;Men;GOLD;GameTeam;Russian Federation team;;Russian Federation;RUS
Diving;sydney-2000;synchronized diving 10m platform men;Men;SILVER;GameTeam;People's Republic of China team;jia-hu;People's Republic of China;CHN
Alpine Skiing;lillehammer-1994;slalom women;Women;BRONZE;Athlete;;katja-koren;Slovenia;SLO
Judo;tokyo-2020;Men -90 kg;Men;GOLD;Athlete;;lasha-bekauri;Georgia;GEO
Wrestling;montreal-1976;Middleweight, Freestyle (?82 kilograms) Men;Men;BRONZE;Athlete;;adolf-seger;Federal Republic of Germany;FRG
Cross Country Skiing;lillehammer-1994;50km men;Men;GOLD;Athlete;;vladimir-smirnov;Kazakhstan;KAZ
Athletics;stockholm-1912;high jump men;Men;BRONZE;Athlete;;george-leslie-horine;United States of America;USA
Athletics;rio-2016;400m hurdles women;Women;SILVER;Athlete;;sara-slott-petersen;Denmark;DEN
Gymnastics Artistic;amsterdam-1928;team competition men;Men;BRONZE;GameTeam;Yugoslavia team;;Yugoslavia;YUG
Canoe Sprint;tokyo-1964;C1 1000m canoe single men;Men;SILVER;Athlete;;andrei-igorov;Romania;ROU
Athletics;berlin-1936;triple jump men;Men;GOLD;Athlete;;naoto-tajima;Japan;JPN
Judo;beijing-2008;- 60 kg -extralightweight men;Men;BRONZE;Athlete;;rishod-sobirov;Uzbekistan;UZB
Canoe Sprint;athens-2004;K2 1000m kayak double men;Men;BRONZE;GameTeam;Norway team;eirik-veras-larsen;Norway;NOR
Equestrian Eventing;stockholm-1912;individual mixed;Men;GOLD;Athlete;;axel-nordlander;Sweden;SWE
Taekwondo;athens-2004;67 kg women;Women;GOLD;Athlete;;zhong-chen;People's Republic of China;CHN
Skeleton;vancouver-2010;Individual women;Women;BRONZE;Athlete;;anja-huber;Germany;GER
Athletics;sydney-2000;10000m men;Men;SILVER;Athlete;;paul-tergat;Kenya;KEN
Boxing;los-angeles-1984;51-54kg bantamweight men;Men;SILVER;Athlete;;hector-lopez-1;Mexico;MEX
Fencing;helsinki-1952;sabre individual men;Men;BRONZE;Athlete;;tibor-berczelly;Hungary;HUN
Athletics;tokyo-2020;Women's Shot Put;Women;BRONZE;Athlete;;valerie-adams;New Zealand;NZL
Canoe Sprint;rio-2016;K-1 200m (kayak single) women;Women;BRONZE;Athlete;;inna-osipenko-rodomska;Azerbaijan;AZE
Athletics;tokyo-2020;Men's 5000m;Men;SILVER;Athlete;;mohammed-ahmed;Canada;CAN
Swimming;berlin-1936;100m freestyle men;Men;BRONZE;Athlete;;shigeo-arai;Japan;JPN
Speed skating;innsbruck-1976;500m men;Men;BRONZE;Athlete;;daniel-immerfall;United States of America;USA
Athletics;tokyo-2020;Women's 5000m;Women;GOLD;Athlete;;sifan-hassan;Netherlands;NED
Athletics;london-2012;110m hurdles men;Men;GOLD;Athlete;;aries-merritt;United States of America;USA
Shooting;paris-1924;trap 125 targets men;Men;GOLD;Athlete;;gyula-halasy;Hungary;HUN
Wrestling;atlanta-1996;Heavyweight, Freestyle (?100 kilograms) Men;Men;SILVER;Athlete;;abbas-jadidi;Islamic Republic of Iran;IRI
Hockey;sydney-2000;hockey women;Women;BRONZE;GameTeam;Netherlands team;;Netherlands;NED
Boxing;atlanta-1996;54-57kg featherweight men;Men;BRONZE;Athlete;;floyd-mayweather;United States of America;USA
Hockey;los-angeles-1932;hockey men;Men;GOLD;GameTeam;India team;;India;IND
Beach Volleyball;london-2012;Beach volleyball women;Women;BRONZE;GameTeam;Brazil team #1;larissa-franca-maestrini;Brazil;BRA
Rowing;montreal-1976;pair without coxswain 2 men;Men;BRONZE;GameTeam;West Germany team;peter-vanroye;Federal Republic of Germany;FRG
Shooting;mexico-city-1968;skeet (125 targets) men;Open;GOLD;Athlete;;yevgeni-petrov;Soviet Union;URS
Speed skating;grenoble-1968;500m women;Women;SILVER;Athlete;;mary-meyers;United States of America;USA
Rowing;atlanta-1996;double sculls 2x women;Women;SILVER;GameTeam;People's Republic of China team;xiuyun-zhang-1;People's Republic of China;CHN
Luge;albertville-1992;Doubles mixed;Open;GOLD;GameTeam;Germany team #1;jan-behrendt;Germany;GER
Tennis;st-louis-1904;doubles men;Men;SILVER;GameTeam;United States team #2;robert-leroy;United States of America;USA
Bobsleigh;nagano-1998;four-man men;Men;BRONZE;GameTeam;Great Britain team;;Great Britain;GBR
Taekwondo;tokyo-2020;Men +80kg;Men;BRONZE;Athlete;;kyo-don-in;Republic of Korea;KOR
Handball;munich-1972;handball men;Men;BRONZE;GameTeam;Romania team;;Romania;ROU
Speed skating;grenoble-1968;1500m women;Women;GOLD;Athlete;;kaija-mustonen;Finland;FIN
Weightlifting;montreal-1976;91  110kg heavyweight men;Men;BRONZE;Athlete;;tadeusz-rutkowski;Poland;POL
Cycling Road;atlanta-1996;individual time trial women;Women;SILVER;Athlete;;jeannie-longo-ciprelli;France;FRA
Weightlifting;sydney-2000;58kg women;Women;BRONZE;Athlete;;khassaraporn-suta;Thailand;THA
Biathlon;turin-2006;125km pursuit men;Men;BRONZE;Athlete;;sven-fischer;Germany;GER
Swimming;montreal-1976;400m freestyle women;Women;GOLD;Athlete;;petra-thumer;German Democratic Republic (Germany);GDR
Athletics;london-1948;4x100m relay women;Women;SILVER;GameTeam;Australia team;;Australia;AUS
Tennis;athens-1896;doubles men;Men;SILVER;GameTeam;Greece team #1;dimitrios-petrokokkinos;Greece;GRE
Rowing;stockholm-1912;single sculls 1x men;Men;GOLD;Athlete;;william-duthie-kinnear;Great Britain;GBR
Boxing;moscow-1980;48-51kg flyweight men;Men;SILVER;Athlete;;viktor-miroshnichenko;Soviet Union;URS
Cross Country Skiing;innsbruck-1964;15km men;Men;SILVER;Athlete;;harald-gronningen;Norway;NOR
Shooting;seoul-1988;50m running target 3030 shot men;Men;GOLD;Athlete;;tor-heiestad;Norway;NOR
Swimming;sydney-2000;200m butterfly men;Men;GOLD;Athlete;;tom-malchow;United States of America;USA
Figure skating;sochi-2014;Pairs mixed;Mixed;GOLD;GameTeam;Russian Federation team #1;maxim-trankov;Russian Federation;RUS
Swimming;moscow-1980;200m butterfly men;Men;GOLD;Athlete;;sergei-fesenko;Soviet Union;URS
Tennis;barcelona-1992;doubles men;Men;SILVER;GameTeam;South Africa team;piet-norval;South Africa;RSA
Swimming;mexico-city-1968;200m breaststroke men;Men;GOLD;Athlete;;felipe-munoz;Mexico;MEX
Boxing;helsinki-1952;71-75kg men;Men;SILVER;Athlete;;vasile-tita;Romania;ROU
Cross Country Skiing;vancouver-2010;10km women;Women;SILVER;Athlete;;kristina-smigun-vaehi;Estonia;EST
Fencing;munich-1972;foil individual men;Men;BRONZE;Athlete;;christian-noel;France;FRA
Canoe Slalom;tokyo-2020;Men's Canoe;Men;BRONZE;Athlete;;sideris-tasiadis;Germany;GER
Wrestling;beijing-2008;Heavyweight, Freestyle (?72 kilograms) Women;Women;BRONZE;Athlete;;agnieszka-jadwiga-wieszczek-kordus;Poland;POL
